title,plays,duration,release_date,isrc,source
Demones Rock Opera - Part 20,5269,7:33,1991-03-14,,MusicMetricsVault.com
Doulia Doulia,5241,1:34,2002-04-26,,MusicMetricsVault.com
Ftene,5225,5:01,1992-12-24,,MusicMetricsVault.com
Palio Periodiko,5163,5:54,1995-09-18,,MusicMetricsVault.com
Demones Rock Opera - Part 21,5009,3:46,1991-03-14,,MusicMetricsVault.com
Ola Tha Allaxoun,4962,2:27,2002-04-26,,MusicMetricsVault.com
San Balaki Tou Tenis,4954,3:06,1989-03-24,,MusicMetricsVault.com
No More The Fool,4879,4:39,2000-06-13,,MusicMetricsVault.com
Ilie Mou,4804,2:15,2006-03-25,,MusicMetricsVault.com
As Ixera,4772,3:24,1982-12-17,,MusicMetricsVault.com
Berde kai berde - Live,4742,2:47,2017-04-14,,MusicMetricsVault.com
Demones Rock Opera - Part 15,4672,2:51,1991-03-14,,MusicMetricsVault.com
Demones Rock Opera - Part 5,4662,1:09,1991-03-14,,MusicMetricsVault.com
Adikos O Horismos Mas,4616,3:13,1982-12-17,,MusicMetricsVault.com
Etos Pediou - Remastered,4601,3:22,2006-03-30,,MusicMetricsVault.com
To Tali Bo,4517,3:29,2006-03-25,,MusicMetricsVault.com
Demones Rock Opera - Part 10,4482,5:18,1991-03-14,,MusicMetricsVault.com
Demones Rock Opera - Part 9,4480,7:13,1991-03-14,,MusicMetricsVault.com
Demones Rock Opera - Part 8,4479,1:27,1991-03-14,,MusicMetricsVault.com
Tilirkiotisa - Live,4429,2:31,2017-04-14,,MusicMetricsVault.com
Argisame Poli,4406,3:04,1982-12-17,,MusicMetricsVault.com
Demones Rock Opera - Part 7,4348,2:36,1991-03-14,,MusicMetricsVault.com
Oso Esi,4306,3:58,1982-12-17,,MusicMetricsVault.com
Entek,4306,6:08,2002-04-26,,MusicMetricsVault.com
Everything - Karaoke Version,4225,2:60,2006-04-27,,MusicMetricsVault.com
Xana Mana - Live,4225,4:57,2021-12-23,,MusicMetricsVault.com
Den Thelo Na Se Vlepo Sihna,4179,3:21,1989-03-24,,MusicMetricsVault.com
Demones Rock Opera - Part 18,4120,5:04,1991-03-14,,MusicMetricsVault.com
Par' To Aeroplano,4098,2:27,1982-12-17,,MusicMetricsVault.com
I 9 Stous 10 Horizoune,4080,3:39,1989-03-24,,MusicMetricsVault.com
Ego Ime Ego,4060,2:09,2007-09-18,,MusicMetricsVault.com
Demones Rock Opera - Part 11,4037,3:54,1991-03-14,,MusicMetricsVault.com
Mala Theme - Instrumental,4034,2:49,2002-04-26,,MusicMetricsVault.com
Xana Mana,3923,2:29,2019-09-01,,MusicMetricsVault.com
Thelo Mia Agapi - Matheo's Deep South Beat Remix,3883,6:01,2010-07-12,,MusicMetricsVault.com
Tora,3847,2:57,1982-12-17,,MusicMetricsVault.com
X - Soumka Mix,3664,5:00,2003-06-13,,MusicMetricsVault.com
Tasis Aftoktonias - The Bombay Mix,3480,5:12,2003-06-13,,MusicMetricsVault.com
Itan Psemata,3403,4:13,1993-06-01,,MusicMetricsVault.com
Ime Eleftheri,3373,2:43,2002-04-26,,MusicMetricsVault.com
Demones Rock Opera - Part 19,3321,2:20,1991-03-14,,MusicMetricsVault.com
Se Zilevo - Galleon Electro-Pop Remix (Radio Edit),3237,3:41,2003-06-13,,MusicMetricsVault.com
Meta Apo Sena Esi,3236,3:49,2019-09-01,,MusicMetricsVault.com
Akomi Ena Vradi Edo,3119,3:43,2002-04-26,,MusicMetricsVault.com
Demones Rock Opera - Part 13,2990,6:49,1991-03-14,,MusicMetricsVault.com
Demones Rock Opera - Part 14,2975,3:45,1991-03-14,,MusicMetricsVault.com
Demones Rock Opera - Part 12,2901,3:42,1991-03-14,,MusicMetricsVault.com
Everything - David Thoener Mix,2898,2:60,2006-03-31,,MusicMetricsVault.com
Kitrino Astro,2826,2:21,2002-04-26,,MusicMetricsVault.com
Sta hronia tis ipomonis - Live,2811,1:50,2017-04-14,,MusicMetricsVault.com
O karagiozis - Live,2777,2:44,2017-04-14,,MusicMetricsVault.com
Ti Ta Thelis Lipon,2726,2:37,1993-06-01,,MusicMetricsVault.com
Den Fovame,2715,1:60,2002-04-26,,MusicMetricsVault.com
Mala Theme - Piano,2650,3:06,2002-04-26,,MusicMetricsVault.com
Ki Omos Ki Omos,2517,2:38,1974-05-16,,MusicMetricsVault.com
Gennissi,2370,2:40,2002-04-26,,MusicMetricsVault.com
Fexe Hlomo Feggari Mou,2286,3:03,1975-12-23,,MusicMetricsVault.com
Tou Theou I Dialegmeni,2270,4:02,2002-04-26,,MusicMetricsVault.com
Mera Beni Mera Vgeni,2265,2:05,2002-04-26,,MusicMetricsVault.com
Thema Tis Vaftissis,2167,2:31,2002-04-26,,MusicMetricsVault.com
Stagona-Stagona,2023,2:42,2002-04-26,,MusicMetricsVault.com
Monologos Boger,1994,4:24,2002-04-26,,MusicMetricsVault.com
Horis Esena Ego Den Kano,1892,2:58,1993-06-01,,MusicMetricsVault.com
Htes T' Apogevma Sto Aahen,1878,2:52,2005-03-31,,MusicMetricsVault.com
Ta Vivlia Agapo,1839,2:35,2002-04-26,,MusicMetricsVault.com
Afixi Sto Aousvits - Instrumental,1811,1:42,2002-04-26,,MusicMetricsVault.com
Ena Dasos Klares,1741,2:34,2005-03-31,,MusicMetricsVault.com
Min Kles Froilain,1728,1:48,2002-04-26,,MusicMetricsVault.com
Tote Tha Figo,1668,2:40,1993-06-01,,MusicMetricsVault.com
Imnos,1613,2:06,2002-04-26,,MusicMetricsVault.com
I Don't Want You to Know,1579,5:20,2010-09-22,,MusicMetricsVault.com
Sto Kafenion Ellinikon,1357,1:56,2005-03-31,,MusicMetricsVault.com
Hit Mix,1152,19:45,2002-12-03,,MusicMetricsVault.com
