title,plays,duration,release_date,isrc,source
Parte Ta Ola - Hotel Ermou Live Version,173275,1:08,2018-07-23,,MusicMetricsVault.com
I Mousiki Tou Anemou - Hotel Ermou Live Instrumental Version,173239,4:01,2018-07-23,,MusicMetricsVault.com
O Telefteos Stathmos,171371,4:08,1998-04-01,,MusicMetricsVault.com
Lathos Strofi,170662,4:21,2015-11-30,,MusicMetricsVault.com
Agapoula Mou - Hotel Ermou Live Version,170036,2:07,2018-07-23,,MusicMetricsVault.com
Mi Mou Pathis Tipota,169408,3:42,1984-03-14,,MusicMetricsVault.com
Mesa Mou - Acoustic Version,164052,3:53,2018-12-03,,MusicMetricsVault.com
Ntrepome,161942,3:48,1997-04-16,,MusicMetricsVault.com
Ime Poli Kala,161689,5:31,1995-09-18,,MusicMetricsVault.com
S' Agapo,161563,3:24,1993-06-01,,MusicMetricsVault.com
Ise - Live Version,159776,4:46,2005-01-27,,MusicMetricsVault.com
Pes To Xana - Live,159275,1:22,2021-02-15,,MusicMetricsVault.com
Kalytera Moni,157882,3:58,2015-11-30,,MusicMetricsVault.com
Xrysopsara - Display & Tony Fragment Remix,157521,3:35,2024-07-15,,MusicMetricsVault.com
Den Me Agapas - Live Version,157204,2:10,2005-01-27,,MusicMetricsVault.com
Lampo - Hotel Ermou Live Version,157182,7:48,2018-07-23,,MusicMetricsVault.com
S' Agapo,156418,3:22,1974-03-27,,MusicMetricsVault.com
Eho Pethani Gia Sena - Live Version,155352,4:20,2005-01-27,,MusicMetricsVault.com
Protimo Na Pethaino,152971,4:12,2015-11-30,,MusicMetricsVault.com
Eki,152347,4:44,1997-04-16,,MusicMetricsVault.com
Parte Ta Ola - Live,150083,2:43,2021-02-15,,MusicMetricsVault.com
Aaa Aaa (Ke Horisame),149574,3:01,2000-11-16,,MusicMetricsVault.com
Logia Ke Siopes,148239,5:14,2005-09-26,,MusicMetricsVault.com
Thivet,147395,5:56,2000-11-16,,MusicMetricsVault.com
Den Tha Iparxi Allo,143709,3:49,2010-12-24,,MusicMetricsVault.com
Antistrofi Metrisi - Live,142869,3:33,2021-02-15,,MusicMetricsVault.com
Sti Pira - La Bratsa - Mila Mou Vromika,140420,3:09,2010-07-12,,MusicMetricsVault.com
Horevo,139277,3:59,1996-02-29,,MusicMetricsVault.com
Ena I Kanena - Radio Version,138975,5:15,2014-01-27,,MusicMetricsVault.com
Eprepe,138045,3:35,1997-04-16,,MusicMetricsVault.com
Risko,135810,3:30,2008-12-09,,MusicMetricsVault.com
Demones Rock Opera - Part 16,135174,4:55,1991-03-14,,MusicMetricsVault.com
Akoma Mia - Hotel Ermou Live Version,134536,1:49,2018-07-23,,MusicMetricsVault.com
Fotia,133876,3:54,1989-12-07,,MusicMetricsVault.com
Agapi Ipervoliki - Live Version,133677,5:57,2005-01-27,,MusicMetricsVault.com
Methysmeni Politeia - Hotel Ermou Live Version,131383,3:02,2018-07-23,,MusicMetricsVault.com
Se Skeftome Sinehia,130840,3:46,1989-12-07,,MusicMetricsVault.com
Oso Eho Foni - The Revival Mix,128827,3:27,1997-11-07,,MusicMetricsVault.com
Erotevmenaki - Hotel Ermou Live Version,127541,2:46,2018-07-23,,MusicMetricsVault.com
Ego Moro Mou - Live Version,127252,2:51,2005-01-27,,MusicMetricsVault.com
Synentefxi,127177,5:04,2015-11-30,,MusicMetricsVault.com
Moro Mou - No Tomorrow - Hotel Ermou Live Version,126875,4:15,2018-07-23,,MusicMetricsVault.com
Empnefsi,126403,3:32,2014-06-10,,MusicMetricsVault.com
